Year,Region,Total Population,Male Population,Female Population,Aboriginal population proportion (%),Population aged 0-4 years,Population aged 5-9 years,Population aged 15-19 years,Population aged 20-24 years,Population aged 25-29 years,Population aged 30-34 years,Population aged 35-39 years,Population aged 40-44 years,Population aged 45-49 years,Population aged 50-54 years,Population aged 55-59 years,Population aged 60-64 years,Population aged 65-69 years,Population aged 70-74 years,Population aged 75-79 years,Population aged 80-84 years,Population aged 85+ years,Age specific birth rate per 1000 women aged 15-44 years,Age specific birth rate per 1000 women aged 15-19 years,Low birth weight (%),Still birth (%),Fertility rate,"Total potentially preventable hospitalisations (PPH) (ASR per 100,000)","PPH - Vaccine preventable conditions (ASR per 100,000)","PPH - Acute conditions (ASR per 100,000)","PPH - Chronic conditions (ASR per 100,000)","Total injury hospitalisations (ASR per 100,000)","Transport accident hospitalisations (ASR per 100,000)","Accidental fall hospitalisations (ASR per 100,000)","Exposure to mechanical force hospitalisations (ASR per 100,000)","Accidental poisoning hospitalisations (ASR per 100,000)","Intentional self-harm hospitalisations (ASR per 100,000)","Assault hospitalisations (ASR per 100,000)","Adverse effects due to drugs and other substance hospitalisations (ASR per 100,000)","Abnormal reaction following procedure hospitalisations (ASR per 100,000)","Breast cancer incidence (female) (ASR per 100,000)","Lung cancer incidence (ASR per 100,000)","Prostate cancer incidence (male) (ASR per 100,000)","Colorectal cancer incidence (ASR per 100,000)","Melanoma incidence (ASR per 100,000)",Currently smokes (%),Consumes two or more serves of  fruit daily (%),Consumes 5 or more serves of vegetables daily (%),Alcohol long term harm (%),Alcohol short term harm (%),Completes at least 150 minutes of physical activity over 5 sessions (18 years and over) (%),Overweight (%),Obese (%)
2009,East Metro,568218,288006,280212,2.79,36805,34035,37796,48306,49338,42981,43224,39995,39606,36222,33216,28912,20368,15562,12076,9077,7957,62.74,19.39,6.55,0.9,1.84,2481.1,67.4,1068.8,1345,4149.6,344.5,875.7,387.2,63.4,168.1,137.2,483.1,1107.1,124,46,167.2,61.2,37.7,17.4,52.6,10.3,33.2,13.6,60.5,39.5,26.5
2009,North Metro,636123,315143,320980,1.25,41721,41746,44995,49856,46622,43532,48384,46720,46804,42351,37375,31567,22883,17647,14056,10725,9795,61.37,11.01,6.2,0.5,1.88,2134,53.8,985.3,1095,3677.7,260.9,855.2,351.3,50.6,189.7,99.5,441.1,909.4,118.3,40.2,202.8,56.7,45.8,15.1,55,11,36.6,16,67.1,41.3,21.6
2009,South Metro,538661,267526,271135,1.87,34131,35907,39071,40462,36248,34379,38753,38502,39490,36107,32209,28571,21656,17438,13676,10386,8400,62.57,17.31,5.96,0.7,1.96,2124.3,56.2,960.6,1107.5,3534.1,284.3,741,356.6,39.5,144.3,105.2,410.9,898.7,105,50.1,204.4,60.3,46.3,15.3,55,11,35.2,13.5,57.7,39.5,28.1
2009,Goldfields,57636,30417,27219,11.52,4692,4166,4020,4424,4788,4461,4782,4471,4351,3678,2948,2315,1590,1063,712,440,371,79.4,37.19,8.27,1.4,2.4,3225,122.3,1166.7,1936,4806.3,555.3,1100.1,467.6,72.6,220.9,312.2,421.9,918.3,105.1,72.2,201.6,60.9,0,20.6,47.4,9.4,42.9,22.3,64.5,33.8,37.7
2009,Great Southern,56411,28198,28213,4.35,3816,4223,3697,2790,2808,3190,3691,3989,4309,4179,3811,3372,2672,2216,1664,1229,972,79.4,24.18,7.74,1,2.37,2469.4,109.2,1092.7,1267.6,4018.9,450,699.7,416.3,59.5,270.7,218.6,436,909.5,93.3,44.5,187.8,44.3,53.9,14.9,52.7,11.2,29.5,12.1,55.3,38.6,31.7
2009,Kimberley,35803,18828,16975,46.11,3307,2570,2356,3155,3471,2989,3015,2625,2439,2209,1752,1177,708,412,268,137,114,70.76,74.3,11.18,1.3,2.36,5090.2,282.3,2457.4,2350.5,8080.1,674.1,1331.7,1137.2,86.5,233.5,1527.1,440.1,1319.5,0,0,0,0,0,30.4,55.1,13,50.8,28,60.2,40.1,28.9
2009,Midwest,63361,32642,30719,12.91,4534,4659,4169,3708,3892,4017,4767,4623,4759,4623,4017,3398,2610,1963,1433,975,648,79.7,43.85,11.1,1.4,2.48,3183.6,165.7,1432.3,1585.7,4773.8,472.8,991.3,536.8,63.8,191.6,324.7,483.2,1069.2,82.2,54.3,183,66.1,53.3,20,53.3,14.4,37,17.2,58.7,36.2,34.7
2009,Pilbara,56578,33678,22900,17.15,4648,3233,3244,4898,6538,5813,5847,4939,4548,3807,2598,1408,616,294,132,73,63,78.99,37.41,6.38,0.2,1.93,3836.1,204.1,1599.6,2032.4,5207.6,587.8,1200.8,698,67.3,108.4,597.5,281.7,956.6,0,0,0,0,0,25.8,48.2,9.3,52.8,26.3,67.5,39.9,33.1
2009,South West,152560,76393,76167,2.63,10498,11213,10323,8370,8772,9410,11279,11243,11592,11126,9675,8765,6338,4831,3648,2794,2137,67.94,20.39,5.69,1,2.25,2640.7,68.2,1023.3,1549.1,4383.4,435,886.7,456.2,55.8,172,101.7,488.7,1153.3,108.6,42.6,181.3,69.8,65.6,16.3,55.2,14.2,33.4,15.9,61.7,42.1,29
2009,Wheatbelt,74899,38607,36292,5.54,5097,5189,4302,3573,3922,4067,5013,5464,5822,5772,5493,4931,3811,2859,1993,1317,1040,69.23,40.83,7.72,0.88,2.59,2757.2,118.45,1217.46,1421.28,5145.32,669.93,1171.03,593.86,67.44,222.35,229.11,467.71,1017.41,124.15,48.41,203.35,78.48,54.79,15.6,55,14.4,32.1,15.5,54.4,39.8,33.2
